timestamp,name,condition,price,url
2026-06-16 00:57:43,Gigabyte GeForce RTX 5070 Ti WINDFORCE OC SFF 16G σαν καινούργιο,,780.0,https://vendora.gr/items/xq45jmd/gigabyte-geforce-rtx-5070-ti-windforce-oc-sff-16g-san-kenourgio.html
2026-06-16 00:57:43,Dell RTX 2060 6GB μεταχειρισμένη κάρτα γραφικών,,130.0,https://vendora.gr/items/3n9y2xj/dell-rtx-2060-6gb-metachirismeni-karta-grafikon.html
2026-06-16 00:57:43,Asus Phoenix RTX 2060 κάρτα γραφικών μεταχειρισμένη,,130.0,https://vendora.gr/items/3n9y25j/asus-phoenix-rtx-2060-karta-grafikon-metachirismeni.html
2026-06-16 00:57:43,Κάρτα γραφικών Sapphire Radeon RX 9060 XT 8GB GDDR6 καινούργια,,350.0,https://vendora.gr/items/jp8e2jk/karta-grafikon-sapphire-radeon-rx-9060-xt-8gb-gddr6-kenourgia.html
2026-06-16 00:57:43,Κάρτες γραφικών Zotac GeForce GTX 1660 Super 6GB GDDR6 μεταχειρισμένες,,195.0,https://vendora.gr/items/oqq3ge/kartes-grafikon-zotac-geforce-gtx-1660-super-6gb-gddr6-metachirismenes.html
2026-06-16 00:57:43,Asus NVIDIA GeForce GTX 1060 6GB White Edition κάρτα γραφικών σαν καινούργιο,,120.0,https://vendora.gr/items/509jy66/asus-nvidia-geforce-gtx-1060-6gb-white-edition-karta-grafikon-san-kenourgio.html
2026-06-16 00:57:43,Κάρτα γραφικών RTX 3070 Gigabyte σαν καινούργια,,290.0,https://vendora.gr/items/0y941dk/karta-grafikon-rtx-3070-gigabyte-san-kenourgia.html
2026-06-16 00:57:43,Gigabyte GeForce RTX 5060 Gaming OC 8GB σαν καινούργιο,,380.0,https://vendora.gr/items/1190weg/gigabyte-geforce-rtx-5060-gaming-oc-8gb-san-kenourgio.html
2026-06-16 00:57:43,Nvidia RTX 5070 12GB Gigabyte καινούργια,,590.0,https://vendora.gr/items/0y928xx/nvidia-rtx-5070-12gb-gigabyte-kenourgia.html
2026-06-16 00:57:43,Nvidia RTX 5060 Ti 16GB κάρτα γραφικών καινούργια,,550.0,https://vendora.gr/items/qqej794/nvidia-rtx-5060-ti-16gb-karta-grafikon-kenourgia.html
2026-06-16 00:57:43,Gpu Asus Strix GTX 970 μεταχειρισμένη,,140.0,https://vendora.gr/items/dzd9zo/gpu-asus-strix-gtx-970-metachirismeni.html
2026-06-16 00:57:43,Gigabyte RTX 3050 8GB Gaming OC κάρτα γραφικών σαν καινούργιο,,150.0,https://vendora.gr/items/qqexj8g/gigabyte-rtx-3050-8gb-gaming-oc-karta-grafikon-san-kenourgio.html
2026-06-16 00:57:43,Gigabyte Aorus RTX 4080 Master κάρτα γραφικών σαν καινούργια με δώρο κουτί υπολογιστή,,1000.0,https://vendora.gr/items/3n923yd/gigabyte-aorus-rtx-4080-master-karta-grafikon-san-kenourgia-me-doro-kouti-ipologisti.html
2026-06-16 00:57:43,GeForce RTX 4070 Ti iCraft Limited Edition OC 12GB GDDR6X σαν καινούργιο,,800.0,https://vendora.gr/items/wmmqqne/geforce-rtx-4070-ti-icraft-limited-edition-oc-12gb-gddr6x-san-kenourgio.html
2026-06-16 00:57:43,"GTX 1070Ti Asus ROG Strix κάρτα γραφικών σαν καινούργια, 8GB",,110.0,https://vendora.gr/items/n0eg15e/gtx-1070ti-asus-rog-strix-karta-grafikon-san-kenourgia-8gb.html
2026-06-16 00:57:43,Palit GeForce RTX 3060 Ti Dual 8GB κάρτα γραφικών σαν καινούργιο,,285.0,https://vendora.gr/items/119384z/palit-geforce-rtx-3060-ti-dual-8gb-karta-grafikon-san-kenourgio.html
2026-06-16 00:57:43,MSI GeForce GTX 1660 Super 6GB GDDR6 Aero ITX OC μεταχειρισμένη,,119.0,https://vendora.gr/items/4e93xny/msi-geforce-gtx-1660-super-6gb-gddr6-aero-itx-oc-metachirismeni.html
2026-06-16 00:57:43,Sapphire Nitro+ RX 7800 XT AMD Radeon Gaming OC Graphics Card σαν καινούργιο με 16GB GDDR6,,690.0,https://vendora.gr/items/p4n10op/sapphire-nitro-rx-7800-xt-amd-radeon-gaming-oc-graphics-card-san-kenourgio-me-16gb-gddr6.html
2026-06-16 00:57:43,MSI RTX 2060 Super κάρτα γραφικών μεταχειρισμένη,,180.0,https://vendora.gr/items/eyj7gpo/msi-rtx-2060-super-karta-grafikon-metachirismeni.html
2026-06-16 00:57:43,Asus Radeon RX 6500 XT 4GB GDDR6 Dual OC κάρτα γραφικών σαν καινούργιο,,89.99,https://vendora.gr/items/eyj94go/asus-radeon-rx-6500-xt-4gb-gddr6-dual-oc-karta-grafikon-san-kenourgio.html
2026-06-16 00:57:43,ASUS ROG Strix Radeon RX 580 8GB OC Edition κάρτα γραφικών μεταχειρισμένη,,80.0,https://vendora.gr/items/yeq9qno/asus-rog-strix-radeon-rx-580-8gb-oc-edition-karta-grafikon-metachirismeni.html
2026-06-16 00:57:43,Zodiac Gaming GeForce RTX 2060 AMP 6GB GDDR6 μεταχειρισμένη κάρτα γραφικών,,180.0,https://vendora.gr/items/mme9o4k/zodiac-gaming-geforce-rtx-2060-amp-6gb-gddr6-metachirismeni-karta-grafikon.html
2026-06-16 00:57:43,GeForce RTX 5060 Eagle Max OC 8GB σαν καινούργιο,,300.0,https://vendora.gr/items/3n9z2gd/geforce-rtx-5060-eagle-max-oc-8gb-san-kenourgio.html
