name,price,url,timestamp,cpu_name,cpu_score,gpu_name,gpu_score,ram_gb,ssd_gb,combined_score
"Lenovo Yoga Slim 9 14ILL10 14"" (Ultra 7-258V/32GB/1TB)",2079.36,https://www.skroutz.gr/s/63267939/lenovo-yoga-slim-9-14ill10-14-oled-uhd-touchscreen-120hz-ultra-7-258v-32gb-1tb-ssd-w11-home-tidal-teal-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 258V,0,Integrated Graphics,15,32,1000,7.5
"Lenovo IdeaPad Slim 5 14Q8X9 14"" (Snapdragon-X Plus X1P-42-100/32GB/1TB)",949.0,https://www.skroutz.gr/s/59933270/lenovo-ideapad-slim-5-14q8x9-14-oled-fhd-snapdragon-x-plus-x1p-42-100-32gb-1tb-ssd-w11-home-abyss-blue-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,1000,4.0
"Lenovo ThinkBook 13x G4 IMH 13.5"" (Ultra 5-125H/16GB/512GB)",1341.08,https://www.skroutz.gr/s/54605064/Lenovo-ThinkBook-13x-G4-IMH-13-5-IPS-120Hz-Ultra-5-125H-16GB-512GB-SSD-W11-Pro-Luna-Grey-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 5 125H,105,Integrated Graphics,15,16,512,60.0
"Lenovo ThinkPad E14 G7 14"" (Ultra 5-225U/16GB/512GB)",1232.98,https://www.skroutz.gr/s/63400185/lenovo-thinkpad-e14-g7-14-ips-fhd-ultra-5-225u-16gb-512gb-ssd-w11-pro-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 5 225U,0,Integrated Graphics,15,16,512,7.5
"Lenovo ThinkBook 14 G7 IML 14"" (Ultra 7-155H/16GB/1TB)",1256.69,https://www.skroutz.gr/s/55280495/Lenovo-ThinkBook-14-G7-IML-14-IPS-Ultra-7-155H-16GB-1TB-SSD-W11-Pro-Arctic-Grey-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 155H,130,Integrated Graphics,15,16,1000,72.5
"MSI Stealth A16 AI+ A3XWHG 16"" (Ryzen AI 300-9 HX 370/32GB)",3623.0,https://www.skroutz.gr/s/60168281/msi-stealth-a16-ai-a3xwhg-16-oled-qhd-240hz-ryzen-ai-300-series-9-hx-370-32gb-1tb-ssd-geforce-rtx-5070-ti-w11-home-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,0,4.0
"Asus TUF Gaming A18 18"" (Ryzen 7-260/32GB/1.0TB)",2035.55,https://www.skroutz.gr/s/60709530/asus-tuf-gaming-a18-fa808up-s8022w-18-fhd-ryzen-7-260-32gb-1-0tb-ssd-geforce-rtx-5070-w11-home-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,0,4.0
"Microsoft Surface Laptop Copilot + PC 13.8"" (Snapdragon/16GB)",999.01,https://www.skroutz.gr/s/54611777/Microsoft-Surface-Laptop-Copilot-PC-13-8-Touchscreen-120Hz-Snapdragon-X-Plus-16GB-512GB-SSD-W11-Home-Black-International-English-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,0,4.0
"HP ProBook 445 G10 14"" (Ryzen 5-7530U/16GB/512GB)",737.0,https://www.skroutz.gr/s/54733889/HP-ProBook-445-G10-14-IPS-FHD-Ryzen-5-7530U-16GB-512GB-SSD-W11-Pro-US-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 5 7530U,76,Integrated Graphics,18,16,512,47.0
"Lenovo ThinkPad E16 Gen 2 (Intel) 16"" (Ultra 7-155H/16GB)",1199.0,https://www.skroutz.gr/s/56483947/Lenovo-ThinkPad-E16-Gen-2-Intel-16-IPS-FHD-Ultra-7-155H-16GB-512GB-SSD-W11-Pro-Black-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 155H,130,Integrated Graphics,15,16,0,72.5
"HP OmniBook Ultra 14-fd0007nn 14"" (Ryzen AI 300-9 365/16GB/1TB)",1299.0,https://www.skroutz.gr/s/58361704/HP-OmniBook-Ultra-14-fd0007nn-14-IPS-Touchscreen-Ryzen-AI-300-Series-9-365-16GB-1TB-SSD-W11-Home-Meteor-Silver-Aluminum-US-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,1000,4.0
"Lenovo IdeaPad 5 2-in-1 14IRU9 14"" (Core 7-150U/16GB/512GB)",949.0,https://www.skroutz.gr/s/51946847/Lenovo-IdeaPad-5-2-in-1-14IRU9-14-IPS-FHD-Touchscreen-Core-7-150U-16GB-512GB-SSD-W11-Home-Luna-Grey-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Apple MacBook Pro (2024) 14.2"" (M4 Max/1TB)",3361.64,https://www.skroutz.gr/s/62858097/apple-macbook-pro-2024-14-2-retina-display-120hz-m4-max-14-core-48gb-1tb-ssd-20-core-gpu-me-fortisti-96w-space-black-international-english-keyboard.html,2026-07-05 02:43:57,Apple M4 Max,180,Apple M4 Max GPU (40-core),140,0,1000,160.0
"HP OmniBook X 14-fe0001nv 14"" (Snapdragon-X Elite X1E-78-100/16GB/1TB)",849.0,https://www.skroutz.gr/s/56805453/HP-OmniBook-X-14-fe0001nv-14-IPS-Touchscreen-Snapdragon-X-Elite-X1E-78-100-16GB-1TB-SSD-W11-Home-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,1000,4.0
"Gigabyte Gaming A16 16"" (Ryzen 7-260)",1029.0,https://www.skroutz.gr/s/64066966/gigabyte-gaming-a16-16-ips-fhd-165hz-ryzen-7-260-16gb-512gb-ssd-geforce-rtx-5050-w11-home-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"MSI Katana 15 HX B14WGK 15.6"" (i7-14650HX/1TB)",1598.71,https://www.skroutz.gr/s/66940474/msi-katana-15-hx-b14wgk-15-6-qhd-165hz-i7-14650hx-16gb-1tb-ssd-geforce-rtx-5050-no-os-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core I7-14650HX,0,Integrated Graphics,15,0,1000,7.5
"HP 250 G10 15.6"" (i5-1334U)",546.6,https://www.skroutz.gr/s/58294654/HP-250-G10-15-6-IPS-FHD-i5-1334U-16GB-512GB-SSD-W11-Pro-International-English-Keyboard.html,2026-07-05 02:43:57,Intel Core I5-1334U,0,Integrated Graphics,15,0,0,7.5
"HP ProBook 455 G10 15.6"" (Ryzen 5-7530U/16GB/512GB)",912.0,https://www.skroutz.gr/s/53238818/HP-ProBook-455-G10-15-6-IPS-FHD-Ryzen-5-7530U-16GB-512GB-SSD-W11-Pro-Pike-Silver-GR-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 5 7530U,76,Integrated Graphics,18,16,512,47.0
"Lenovo ThinkPad P14s Gen 4 14"" (i5-1340P/24GB/1TB)",1736.0,https://www.skroutz.gr/s/64308691/lenovo-thinkpad-p14s-gen-4-14-oled-i5-1340p-24gb-1tb-ssd-w11-pro-villi-black-uk-keyboard.html,2026-07-05 02:43:57,Intel Core I5-1340P,0,Integrated Graphics,15,24,1000,7.5
"Asus TUF Gaming A18 18"" (Ryzen 7-260/32GB/1.0TB)",2000.22,https://www.skroutz.gr/s/60709530/asus-tuf-gaming-a18-fa808up-s8022w-18-fhd-ryzen-7-260-32gb-1-0tb-ssd-geforce-rtx-5070-w11-home-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,0,4.0
"Lenovo ThinkPad P14s Gen 4 14"" (i5-1340P)",1385.0,https://www.skroutz.gr/s/64308242/lenovo-thinkpad-p14s-gen-4-14-oled-i5-1340p-16gb-256gb-ssd-w11-pro-villi-black-us-keyboard.html,2026-07-05 02:43:57,Intel Core I5-1340P,0,Integrated Graphics,15,0,0,7.5
"Apple MacBook Pro (2024) 14.2"" (M4 Pro)",2199.36,https://www.skroutz.gr/s/57580044/Apple-MacBook-Pro-2024-14-2-Retina-Display-120Hz-M4-Pro-12-Core-24GB-512GB-SSD-16-Core-GPU-me-Fortisti-70W-Space-Black-US-Keyboard.html,2026-07-05 02:43:57,Apple M4 Pro,135,Apple M4 Pro GPU (20-core),95,0,0,115.0
"Microsoft Surface Laptop 7 Copilot+ 13.8"" (Ultra 5-236V/16GB)",2100.0,https://www.skroutz.gr/s/61236739/microsoft-surface-laptop-7-copilot-13-8-touchscreen-120hz-ultra-5-236v-16gb-256gb-ssd-w11-pro-platinum-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 5 236V,0,Integrated Graphics,15,16,0,7.5
"HP Dragonfly G4 13.5"" (i7-1355U/16GB/1TB)",1349.0,https://www.skroutz.gr/s/52233852/HP-Dragonfly-G4-13-5-OLED-i7-1355U-16GB-1TB-SSD-W11-Pro-Slate-Blue-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core i7-1355U,75,Integrated Graphics,15,16,1000,45.0
"Lenovo Yoga Pro 9 16IAH10 16"" (Ultra 7-255H)",2276.65,https://www.skroutz.gr/s/63717250/lenovo-yoga-pro-9-16iah10-16-oled-120hz-ultra-7-255h-32gb-1tb-ssd-geforce-rtx-5050-w11-home-luna-grey-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 255H,0,Integrated Graphics,15,0,0,7.5
"Dell Inspiron 7430 Plus 14"" (i7-13700H/16GB/1TB)",1329.9,https://www.skroutz.gr/s/48697344/Dell-Inspiron-7430-Plus-14-QHD-i7-13700H-16GB-1TB-SSD-W11-Home-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core i7-13700H,135,Integrated Graphics,15,16,1000,75.0
"Microsoft Surface Laptop 6 13.5"" (Ultra 5-135H/16GB)",959.0,https://www.skroutz.gr/s/52416431/Microsoft-Surface-Laptop-6-13-5-Touchscreen-Ultra-5-135H-16GB-256GB-SSD-W11-Pro-US-Keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 5 135H,0,Integrated Graphics,15,16,0,7.5
"Asus ExpertBook B1 15.6"" (Core 5-120U/16GB/512GB)",849.44,https://www.skroutz.gr/s/63774393/asus-expertbook-b1-b1503cva-gr5u3c0x-15-6-fhd-core-5-120u-16gb-512gb-ssd-w11-pro-gentle-grey-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Microsoft Surface Laptop 6 13.5"" (Ultra 7-165H/16GB/256GB)",2119.0,https://www.skroutz.gr/s/52205507/Microsoft-Surface-Laptop-6-13-5-Touchscreen-Ultra-7-165H-16GB-256GB-SSD-W11-Pro-US-Keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 165H,0,Integrated Graphics,15,16,256,7.5
"Microsoft Surface Laptop 5 13.5"" (i5/512GB)",705.11,https://www.skroutz.gr/s/67667139/microsoft-surface-laptop-5-13-5-touchscreen-i5-1235u-8gb-512gb-ssd-w11-home-platinum-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,512,4.0
"HP 15-fc0011nv 15.6"" (Ryzen 7-7730U/16GB/512GB)",669.0,https://www.skroutz.gr/s/42448565/HP-15-fc0011nv-15-6-IPS-FHD-Ryzen-7-7730U-16GB-512GB-SSD-W11-Home-GR-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 7 7730U,85,Integrated Graphics,18,16,512,51.5
"Asus ROG Strix G16 16"" (Ryzen 9)",2351.98,https://www.skroutz.gr/s/60364801/asus-rog-strix-g16-g614pr-rv063x-16-fhd-165hz-ryzen-9-8940hx-32gb-1tb-ssd-geforce-rtx-5070-ti-w11-pro-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Asus ExpertBook B1 15.6"" (Core 5/16GB/512GB)",839.48,https://www.skroutz.gr/s/63774393/asus-expertbook-b1-b1503cva-gr5u3c0x-15-6-fhd-core-5-120u-16gb-512gb-ssd-w11-pro-gentle-grey-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Dell Pro Max 16 MC16250 16"" (Ultra 9-285HX/64GB/1TB)",5942.63,https://www.skroutz.gr/s/63015956/dell-pro-max-16-mc16250-16-fhd-ultra-9-285hx-64gb-1tb-ssd-rtx-pro-3000-blackwell-w11-pro-gr-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 9 285HX,0,Integrated Graphics,15,64,1000,7.5
"MSI Katana 15 HX B14WFK 15.6"" (i7-14650HX/16GB/512GB)",1399.01,https://www.skroutz.gr/s/61878941/msi-katana-15-hx-b14wfk-15-6-qhd-165hz-i7-14650hx-16gb-512gb-ssd-geforce-rtx-5060-w11-home-us-keyboard.html,2026-07-05 02:43:57,Intel Core I7-14650HX,0,Integrated Graphics,15,16,512,7.5
"Lenovo Legion 5 15.1"" (Ryzen AI 300-350/32GB/1.0TB)",1888.42,https://www.skroutz.gr/s/63385474/lenovo-legion-5-15-1-qhd-ryzen-ai-300-series-350-32gb-1-0tb-ssd-geforce-rtx-5070-no-os-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,0,4.0
"HP EliteBook Ultra G1q 14"" (Snapdragon)",727.0,https://www.skroutz.gr/s/59120079/HP-EliteBook-Ultra-G1q-14-IPS-Snapdragon-X-Plus-X1P-42-100-16GB-512GB-SSD-W11-Pro-International-English-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
